╔══════════════════════════════════════════════════════════════════════════════╗
║ 🌍 Google Maps Scraper                                                       ║
║ ⭐ If you find this project useful, please star it on GitHub: https://github ║
║ .com/gosom/google-maps-scraper                                               ║
║ 💖 Consider sponsoring to support development: https://github.com/sponsors/g ║
{"level":"info","component":"scrapemate","job":"Job{ID: 6a7b31a6-c1f7-4ad6-a109-cb5d0d45d37f, Method: GET, URL: https://www.google.com/maps/place/Crown+Plumbing/data=!4m7!3m6!1s0x808e33a6094aed09:0xdfa54677aa1a59f9!8m2!3d37.3187059!4d-121.9068721!16s%2Fg%2F1264260wk!19sChIJCe1KCaYzjoAR-VkaqndGpd8?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":555.304,"time":"2026-07-21T06:28:35.056973Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 4334490b-ea6f-467e-9816-01f246287a26, Method: GET, URL: https://www.google.com/maps/place/American+reliable+plumbing/data=!4m7!3m6!1s0x656bf81eb4ae9441:0x81276b52a22c84b4!8m2!3d37.600283!4d-121.294991!16s%2Fg%2F11sj58z678!19sChIJQZSutB74a2URtIQsolJrJ4E?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":528.084,"time":"2026-07-21T06:28:35.585111Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 93a5d5fc-f713-446f-80e0-530f6da8fbf7, Method: GET, URL: https://www.google.com/maps/place/Evo+Water+Heating+%26+Plumbing/data=!4m7!3m6!1s0x808fcdf00bed7a97:0xaad1617cb7885016!8m2!3d37.362712!4d-121.8981775!16s%2Fg%2F11gmwc1yx2!19sChIJl3rtC_DNj4ARFlCIt3xh0ao?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":524.272,"time":"2026-07-21T06:28:36.109856Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 138768bd-3de7-4663-bb35-87bdb2d1e962, Method: GET, URL: https://www.google.com/maps/place/Steveo+Plumbing+Services/data=!4m7!3m6!1s0x808fcdf21c63527b:0x2c9d1ee1861dcef4!8m2!3d37.3401417!4d-121.8816794!16s%2Fg%2F11h_b2ky46!19sChIJe1JjHPLNj4AR9M4dhuEenSw?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":535.003,"time":"2026-07-21T06:28:36.644928Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 0b83519c-0cf2-4eeb-9808-7f96095a8463, Method: GET, URL: https://www.google.com/maps/place/Shogun+Plumbing/data=!4m7!3m6!1s0xa3891c655b378897:0x204e29571ea21b5f!8m2!3d37.364912!4d-121.9097666!16s%2Fg%2F11x6lvm4x2!19sChIJl4g3W2UciaMRXxuiHlcpTiA?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":546.898,"time":"2026-07-21T06:28:37.191877Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: de9c6813-547f-4c3a-aa2a-e7bd782b177b, Method: GET, URL: https://www.google.com/maps/place/EJ+Plumbing+%26+Water+Heaters/data=!4m7!3m6!1s0x808fb0a9fe680e41:0x8ec979e9d326002c!8m2!3d37.3659539!4d-121.95451!16s%2Fg%2F11b5zz9c9n!19sChIJQQ5o_qmwj4ARLAAm0-l5yY4?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":601.199,"time":"2026-07-21T06:28:37.793127Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 4c1b3270-e195-4da3-bc30-d328b09e83bf, Method: GET, URL: https://www.google.com/maps/place/Able+Plumbing,+Sewer,+and+Drain/data=!4m7!3m6!1s0x808fcb82ab9ba757:0xe2787648064b9c65!8m2!3d37.351773!4d-121.9132428!16s%2Fg%2F1tk8cbwp!19sChIJV6ebq4LLj4ARZZxLBkh2eOI?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":574.384,"time":"2026-07-21T06:28:38.36758Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 01e1a5b5-fb74-41a0-bd8f-29c05ae5970c, Method: GET, URL: https://www.google.com/maps/place/ABARCAS+REPIPE+%26+PLUMBING+INC/data=!4m7!3m6!1s0x8bac5c558a39c52f:0x1519a02d580cb2ac!8m2!3d37.3432765!4d-121.82838!16s%2Fg%2F11x1wk5cyb!19sChIJL8U5ilVcrIsRrLIMWC2gGRU?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":569.568,"time":"2026-07-21T06:28:38.937218Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 469b7062-8670-4497-88b1-05361f4ee9cd, Method: GET, URL: https://www.google.com/maps/place/MC+Plumbing+%26+Drain/data=!4m7!3m6!1s0x808fcce862a67f9b:0x795e801674389198!8m2!3d37.7892922!4d-121.8744225!16s%2Fg%2F11btsvf987!19sChIJm3-mYujMj4ARmJE4dBaAXnk?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":574.285,"time":"2026-07-21T06:28:39.511557Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: d01d8331-13a1-4d04-ac6c-e6dd4d87fca9, Method: GET, URL: https://www.google.com/maps/place/Freedom+Underground+Plumbing+--+Solving+your+Water,+Sewer+and+Electrical+Conduit+Needs/data=!4m7!3m6!1s0x808e32f9b6f66f5b:0x59e8f44afa2e5606!8m2!3d37.346697!4d-121.9166437!16s%2Fg%2F11b5pkx_57!19sChIJW2_2tvkyjoARBlYu-kr06Fk?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":572.923,"time":"2026-07-21T06:28:40.084527Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: cefea48c-5c63-4652-946a-8a5bdfcd62e1, Method: GET, URL: https://www.google.com/maps/place/Allstar+Plumbing/data=!4m7!3m6!1s0x808fcc3584912a43:0x2caac951c7210f0f!8m2!3d37.3139466!4d-121.8645272!16s%2Fg%2F1hc7nt0_q!19sChIJQyqRhDXMj4ARDw8hx1HJqiw?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":547.704,"time":"2026-07-21T06:28:40.632289Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: c9918a4a-6079-428f-9f76-d201c7a3cea2, Method: GET, URL: https://www.google.com/maps/place/$15+Sewer+%26+Drain+Service/data=!4m7!3m6!1s0xa6b87047e1f4f3d7:0xe30063e4871f5c2!8m2!3d37.3188658!4d-121.8814766!16s%2Fg%2F11rrsc33p8!19sChIJ1_P04UdwuKYRwvVxSD4GMA4?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":585.224,"time":"2026-07-21T06:28:41.21756Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 8a2334b3-a4b5-422b-b044-994b4de9ed7e, Method: GET, URL: https://www.google.com/maps/place/Rayne+Plumbing+%26+Sewer+Service,+Inc./data=!4m7!3m6!1s0x808fcd85333c36cd:0x772fe7873446c201!8m2!3d37.3594377!4d-121.8929702!16s%2Fg%2F11pdxz5swl!19sChIJzTY8M4XNj4ARAcJGNIfnL3c?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":566.708,"time":"2026-07-21T06:28:41.784844Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 409249a4-8971-4ec5-8ca1-0ac6f45fcea7, Method: GET, URL: https://www.google.com/maps/place/SPS+Plumbing+-+Water+Heater+Repair+%26+Installation/data=!4m7!3m6!1s0x808e336555555555:0x6040401ff94fc97b!8m2!3d37.3183038!4d-121.8710262!16s%2Fg%2F1260n1wf9!19sChIJVVVVVWUzjoARe8lP-R9AQGA?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":541.557,"time":"2026-07-21T06:28:42.326452Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 64721f06-a879-4179-a81a-832e5d9bd630, Method: GET, URL: https://www.google.com/maps/place/Mr.+Reliable+Plumbing+%26+Heating/data=!4m7!3m6!1s0x808fcb89361db905:0xa7e0e6d2c47c2594!8m2!3d37.3664481!4d-121.9069436!16s%2Fg%2F11fy805rbf!19sChIJBbkdNonLj4ARlCV8xNLm4Kc?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":589.415,"time":"2026-07-21T06:28:42.91591Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 6b66a854-70c1-4fc4-bfd3-eeb55195205b, Method: GET, URL: https://www.google.com/maps/place/Senor+Rooter+Plumbing/data=!4m7!3m6!1s0x808fcd26317d560d:0x8d6042329540300c!8m2!3d37.2961565!4d-121.815771!16s%2Fg%2F11hk1rd8nl!19sChIJDVZ9MSbNj4ARDDBAlTJCYI0?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":537.833,"time":"2026-07-21T06:28:43.453789Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 1f4529f7-b3f0-49d0-b1a2-8a94e85084c0, Method: GET, URL: https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x808fcbb63b7e327b:0x9d273083db34551a!8m2!3d37.3693722!4d-121.9614964!16s%2Fg%2F1hc2lm6vx!19sChIJezJ-O7bLj4ARGlU024MwJ50?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":630.71,"time":"2026-07-21T06:28:44.084555Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: f082aca8-deaf-49eb-b1e0-79d0317463ad, Method: GET, URL: https://www.google.com/maps/place/Gold+Star+Plumbing/data=!4m7!3m6!1s0x8532ab8b889879d5:0x80a20c2a36244f00!8m2!3d37.2961565!4d-121.815771!16s%2Fg%2F11lznhf3fr!19sChIJ1XmYiIurMoURAE8kNioMooA?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":583.077,"time":"2026-07-21T06:28:44.667708Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 576d6db8-2be6-4494-bad4-7f38aa9b22e3, Method: GET, URL: https://www.google.com/maps/place/United+Plumbing+%26+Water+Heaters/data=!4m7!3m6!1s0x808fcb7fc422a06f:0xe9b2d306132e6552!8m2!3d37.3857466!4d-121.9386357!16s%2Fg%2F11vz04kg3x!19sChIJb6AixH_Lj4ARUmUuEwbTsuk?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":579.008,"time":"2026-07-21T06:28:45.246786Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 3f3bf1bb-b574-44f5-ba61-cf922c971681, Method: GET, URL: https://www.google.com/maps/place/WatchLine+Hydro+Jetting%27s+Systems/data=!4m7!3m6!1s0x808fcd1b3c5d8325:0x21d5c32cc4b151eb!8m2!3d37.3421163!4d-121.8918723!16s%2Fg%2F11mm0vwr91!19sChIJJYNdPBvNj4AR61GxxCzD1SE?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":552.313,"time":"2026-07-21T06:28:45.79914Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: fb9ef9fd-7d57-44ea-8e7f-9048e33ad030, Method: GET, URL: https://www.google.com/maps/place/Flow+City+Plumbing/data=!4m7!3m6!1s0xa43cb6390453905:0xdb733bd4db385969!8m2!3d37.346742!4d-121.9298004!16s%2Fg%2F11w9yzs13y!19sChIJBTlFkGPLQwoRaVk429Q7c9s?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":612.681,"time":"2026-07-21T06:28:46.41189Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 1545b178-291d-4e96-8379-9e9720ba152c, Method: GET, URL: https://www.google.com/maps/place/Fuse+HVAC,+Refrigeration,+Electrical+%26+Plumbing/data=!4m7!3m6!1s0x808fcc9a075f0445:0x6e57d018a66968bd!8m2!3d37.2961565!4d-121.839023!16s%2Fg%2F11g6tznd7q!19sChIJRQRfB5rMj4ARvWhpphjQV24?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":561.783,"time":"2026-07-21T06:28:46.973895Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 8dde324d-ffdf-49d2-afb3-e327560792c2, Method: GET, URL: https://www.google.com/maps/place/Benjamin+Franklin+Plumbing+-+San+Jose/data=!4m7!3m6!1s0x808fcc5155555555:0x6349ecc8b5072dae!8m2!3d37.3715839!4d-121.9089641!16s%2Fg%2F1tdy4pzx!19sChIJVVVVVVHMj4ARri0HtcjsSWM?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":590.094,"time":"2026-07-21T06:28:47.564069Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 56722059-36f1-4f9e-82e5-f7d85bc5844a, Method: GET, URL: https://www.google.com/maps/place/Elite+Rooter/data=!4m7!3m6!1s0x808fcb17bcc64837:0xe64148c9674d183e!8m2!3d37.3590882!4d-121.9010962!16s%2Fg%2F11fb0rc33n!19sChIJN0jGvBfLj4ARPhhNZ8lIQeY?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":561.467,"time":"2026-07-21T06:28:48.125572Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 633e29a5-c3a5-49fb-b02d-0975697b2e14, Method: GET, URL: https://www.google.com/maps/place/Plumbing+Point,+Inc./data=!4m7!3m6!1s0x81c634a1136eb549:0x3f66ccaf6fc8a26d!8m2!3d37.3979997!4d-121.9844735!16s%2Fg%2F11rtqkq5pn!19sChIJSbVuE6E0xoERbaLIb6_MZj8?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":582.627,"time":"2026-07-21T06:28:48.708276Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 61eb51f6-d4d0-4b79-b008-bd3017ff532f, Method: GET, URL: https://www.google.com/maps/place/Smart+Plumbers+Inc.+DBA+Smart+Plumbers+%26+Rooters/data=!4m7!3m6!1s0x808fca344a91a899:0x1f088c5beb7a26d2!8m2!3d37.3617275!4d-121.9516038!16s%2Fg%2F1v3khrk0!19sChIJmaiRSjTKj4AR0iZ661uMCB8?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":552.856,"time":"2026-07-21T06:28:49.261185Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: a281e8ce-26ff-4658-93fd-8df00978fd08, Method: GET, URL: https://www.google.com/maps/place/Mike+Counsil+Plumbing+and+Rooter/data=!4m7!3m6!1s0x808fcbf973d5f767:0x14eefabd886a62ed!8m2!3d37.385229!4d-121.906418!16s%2Fg%2F1tdb91tw!19sChIJZ_fVc_nLj4AR7WJqiL367hQ?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":745.308,"time":"2026-07-21T06:28:50.006551Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 04bb8785-ba79-42e6-8c1c-51be6cba953d, Method: GET, URL: https://www.google.com/maps/place/West+Peak+Trenchless+%26+Plumbing/data=!4m7!3m6!1s0x808f7938ddee3581:0xca3bd749d3188263!8m2!3d37.3783793!4d-121.9524561!16s%2Fg%2F11kpr2vnt2!19sChIJgTXu3Th5j4ARY4IY00nXO8o?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":629.034,"time":"2026-07-21T06:28:50.635627Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 5d30d800-3a43-4c13-a508-63f4ee245d65, Method: GET, URL: https://www.google.com/maps/place/Falcone+Plumbing,+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x808fcb5387cbb307:0xedfc35ae7c346085!8m2!3d37.3065503!4d-121.8754249!16s%2Fg%2F1vp6_dym!19sChIJB7PLh1PLj4ARhWA0fK41_O0?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":550.39,"time":"2026-07-21T06:28:51.186067Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: bdabd487-9169-4dc9-bdcd-544abb61bd3f, Method: GET, URL: https://www.google.com/maps/place/Golden+State+Plumber+%26+Rooter/data=!4m7!3m6!1s0x808fcb1883338757:0xa1ac4c263ff6ecf9!8m2!3d37.2961565!4d-121.857762!16s%2Fg%2F11t5yk_09d!19sChIJV4czgxjLj4AR-ez2PyZMrKE?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":595.482,"time":"2026-07-21T06:28:51.78164Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 2a5bff21-2dad-4c5a-8666-9655d7ce3375, Method: GET, URL: https://www.google.com/maps/place/The+Tankless+Guys+Plumbing+%26+Rooter/data=!4m7!3m6!1s0x808fb55cfdbb0829:0x72583dcbaa21d4e7!8m2!3d37.3804932!4d-121.9435276!16s%2Fg%2F11vhts3qy9!19sChIJKQi7_Vy1j4AR59Qhqss9WHI?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":602.428,"time":"2026-07-21T06:28:52.384129Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: e0caa0a4-1b3e-4033-ac25-adda86623a5d, Method: GET, URL: https://www.google.com/maps/place/Best+Bay+Plumbing+And+Rooter/data=!4m7!3m6!1s0x808e329ecdc3ffff:0x524a7e1fc05080b2!8m2!3d37.371183!4d-121.9070562!16s%2Fg%2F11h3vc2bq1!19sChIJ___DzZ4yjoARsoBQwB9-SlI?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":603.663,"time":"2026-07-21T06:28:52.987856Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: b6df6fbf-b4bb-4ab6-8e6b-bcd29ceaae19, Method: GET, URL: https://www.google.com/maps/place/The+Great+American+Plumbing+Co/data=!4m7!3m6!1s0x4c8c1a59943dcd11:0xe95e581cf86d416d!8m2!3d37.3188929!4d-121.8814762!16s%2Fg%2F11rtv5sm9_!19sChIJEc09lFkajEwRbUFt-BxYXuk?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":664.26,"time":"2026-07-21T06:28:53.652162Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: c7eab138-e382-44e6-8fbc-65b67e450801, Method: GET, URL: https://www.google.com/maps/place/Repipe+Champions+Plumbing+and+Rooter/data=!4m7!3m6!1s0x808561c5b29c30ed:0x978dc9b75382bb25!8m2!3d37.3825051!4d-121.9458657!16s%2Fg%2F11h9kzywg3!19sChIJ7TCcssVhhYARJbuCU7fJjZc?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":609.256,"time":"2026-07-21T06:28:54.261468Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 88dbb243-3adf-438b-b925-c6a846f0a54d, Method: GET, URL: https://www.google.com/maps/place/Rough+Plumbing/data=!4m7!3m6!1s0x808fcb9fe88f5c1f:0xe39c33a4aa1ddcdd!8m2!3d37.3490745!4d-121.9233387!16s%2Fg%2F11c719smnn!19sChIJH1yP6J_Lj4AR3dwdqqQznOM?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":527.635,"time":"2026-07-21T06:28:54.789165Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 7e4de9ef-6136-4012-ac29-964650185ead, Method: GET, URL: https://www.google.com/maps/place/Chandlers+Plumbing+-+Water+Heater+%26+Sewer+Repair+Specialists/data=!4m7!3m6!1s0x808e32e77fe68f3b:0xd4e7443e82af4211!8m2!3d37.3133017!4d-121.8478102!16s%2Fg%2F1260ss9x3!19sChIJO4_mf-cyjoAREUKvgj5E59Q?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":593.201,"time":"2026-07-21T06:28:55.382415Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 5ea12dbf-2c3d-480d-a4f5-05ad26ba19e1, Method: GET, URL: https://www.google.com/maps/place/Champion+Plumbing/data=!4m7!3m6!1s0x808fcc7503140b4f:0xae12f0152db5ea59!8m2!3d37.3734721!4d-121.8998577!16s%2Fg%2F1tsljz8b!19sChIJTwsUA3XMj4ARWeq1LRXwEq4?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":550.777,"time":"2026-07-21T06:28:55.933248Z","message":"job finished"}
{"level":"info","component":"scrapemate","numOfJobsCompleted":41,"numOfJobsFailed":0,"lastActivityAt":"2026-07-21T06:28:55.933287Z","speed":"41.00 jobs/min","time":"2026-07-21T06:28:56.409562Z","message":"scrapemate stats"}
{"level":"info","component":"scrapemate","job":"Job{ID: 15e265ad-d947-4f40-9ac9-168acdb09bc1, Method: GET, URL: https://www.google.com/maps/place/Water+Quality+Plumbing/data=!4m7!3m6!1s0x808e336b31bb4921:0x4f51c79f9f0caea5!8m2!3d37.3057819!4d-121.8750239!16s%2Fg%2F1tkjlfdz!19sChIJIUm7MWszjoARpa4Mn5_HUU8?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":567.279,"time":"2026-07-21T06:28:56.500591Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: b44e6d74-1905-4b85-821d-d0bc90a054ee, Method: GET, URL: https://www.google.com/maps/place/Genmor+Plumbers+-+San+Jose/data=!4m7!3m6!1s0x808fcbd72d0ad169:0xb55eb74be1a391d1!8m2!3d37.3123839!4d-121.8684469!16s%2Fg%2F1th576t8!19sChIJadEKLdfLj4AR0ZGj4Uu3XrU?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":580.296,"time":"2026-07-21T06:28:57.080994Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: e0ca66ca-7852-4f56-b815-7858992c783e, Method: GET, URL: https://www.google.com/maps/place/Lyons+Brothers+Plumbing/data=!4m7!3m6!1s0x808fcb7679cced5b:0x67311f00acaf6cb4!8m2!3d37.3479782!4d-121.9188279!16s%2Fg%2F1tj7f915!19sChIJW-3MeXbLj4ARtGyvrAAfMWc?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":539.728,"time":"2026-07-21T06:28:57.62077Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: ae725a41-4c8a-4d6c-a4b4-749f19e70695, Method: GET, URL: https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x808fb7a37c85eb7b:0xba83001619f1c815!8m2!3d37.3825697!4d-121.995396!16s%2Fg%2F11fnntcy5h!19sChIJe-uFfKO3j4ARFcjxGRYAg7o?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":598.343,"time":"2026-07-21T06:28:58.219157Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 85de728f-4d86-465f-a5fe-47a63bf14e7d, Method: GET, URL: https://www.google.com/maps/place/Ferguson+Plumbing+Supply/data=!4m7!3m6!1s0x808fcc7020339c35:0xb4fac3bac6940ef!8m2!3d37.369253!4d-121.8894297!16s%2Fg%2F1tpps61k!19sChIJNZwzIHDMj4AR70BprDusTws?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":571.477,"time":"2026-07-21T06:28:58.790717Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 4524d259-7c27-48fd-a262-0a0b3c92dcfe, Method: GET, URL: https://www.google.com/maps/place/ACH+Plumbing+Inc/data=!4m7!3m6!1s0x808fcb4660f69e0d:0x4802c04c9e29226c!8m2!3d37.3228956!4d-121.9202195!16s%2Fg%2F1tdcrsb8!19sChIJDZ72YEbLj4ARbCIpnkzAAkg?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":538.426,"time":"2026-07-21T06:28:59.329301Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 28930311-88ec-4683-b501-7e211c500b13, Method: GET, URL: https://www.google.com/maps/place/Pros+Plumbing+and+Rooter/data=!4m7!3m6!1s0x808fcca884c7d755:0x95562d718f932953!8m2!3d37.3492893!4d-121.9303609!16s%2Fg%2F1tfsc27g!19sChIJVdfHhKjMj4ARUymTj3EtVpU?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":556.378,"time":"2026-07-21T06:28:59.885734Z","message":"job finished"}
